,content,Emotion
448,i am feelin stunned out hey hey now i am feelin stunned out ohh ohhh now i am feelin stunned out yeaa yeaaaa now i am feelin stunned out,surprise
461,i also tend to gravitate away from male narrated novels because as a female i feel like i cant relate but that didnt deter me away from these gentle wounds,love
465,i am feeling a bit overwhelmed with learning the new job and the close of the school year,surprise
466,i am feeling a bit shocked about that myself,surprise
471,i am feeling a bit surprised and confused about being an adult today,surprise
488,it so happened that while staying at anaunts place i discovered that i was afraid of sleeping in pitch darkness the room which my sister and i were sharing had no light,fear
489,i alternate between feeling sympathetic toward humanity and being a misanthrope,love
492,i always beat myself up if i feel like ive come accross badly or if someone has not liked me when i meet them but the world is made up of billions of people and the chances of them all liking each other are minute,love
492,i am feeling a little overwhelmed lately,surprise
499,i am feeling a little shocked and vulnerable,surprise
502,i am feeling a little stunned and overwhelmed by what i have just listened to experienced,surprise
503,i am feeling a little stunned because we usually have the advantage of being warned a week ahead of disasters when they are hurricanes,surprise
509,i always feel a little naughty being at home on a week day sick or not sick past am and that naughty exciting feeling starts to dissipate around pm when i know people start to filter out of their offices and head home,love
518,i always feel amorous when it snows,love
540,i am feeling and it pushes it far far away and gives me this amazing feeling of love and happiness,surprise
543,i felt it today when the bus driver shouted rather indecent words at a man without any reason whatsoever,anger
546,i felt it when a girl who was dear to me lied to my face i got angry with the fact that she knew i didnt believe her but she kept on telling lies,anger
550,i am feeling curious and a little sadistic,surprise
550,sitting alone in a quiet room concentrating on things happening around me which pleases me,joy
551,i am feeling curious and creative at the moment and want to give myself a little push down a less traveled path,surprise
570,i am feeling energy for the third so let s dig more deeply into being curious,surprise
605,the disqualification of two of my mates in the military service,sadness
615,one night i and my friends went to the cemetery we stopped the car in front of the wall and suddenly the grave digger appeared over the wall looking like a ghost i was already afraid and almost died,fear
616,i am feeling overwhelmed again at the kindness of strangers,surprise
637,i always like to sneak a smell when i am holding them because the vanilla fragrance it s so soothing and makes me feels nostalgic,love
639,sleeping alone in a tent,fear
644,i always need some space to modify my feelings and if i talk i ll talk without a brain supporting me,love
648,i always recognize that feeling in my heart its your smile again the past hours was the last time i saw your sweet lovely lips carve a smile for me,love
659,i am feeling overwhelmed with housework etc i then have a huge cooking mess to clean up,surprise
690,the shooting started and we all lay down to protect ourselves from the flying bullets this incident occured on our way to feira,fear
695,i am feeling really weird after a jog,surprise
705,i am feeling shocked that it is already here the months since i registered have gone by so fast,surprise
715,i am a passionate obama supporter but as a woman i feel twinges of guilt at times about the fact that i am not supporting the first woman with a real shot at the presidency,love
730,i am a straight guy and i feel extremely horny when i see a naked woman well as long as she isn t old but do gay men feel disgust nothing or what when they see a naked woman,love
730,i am feeling so overwhelmed with thankfulness,surprise
735,i am a very lovely and hot woman who loves to share with my special guests i love to chat be treated nice and teased for a real hot man feel passion make u horny and finally cum together,love
735,i am feeling something funny when i lay down flat,surprise
748,i am feeling surprised a bit upset and frustrated that i cant give options so that the patient can help themselves resolve the situation,surprise
767,i am feeling very impressed with myself,surprise
770,when i did not get admission in msc after my bsc,fear
772,when i dream of anything terrifying i used to have fear for the rest of the day that the dream might come true eg,fear
780,i am feeling weird and feel wanna know,surprise
781,i am feeling weird and uncomfortable about this unedited blogging thing,surprise
782,when i flew from athens to copenhagen after a holiday the plane was caught in a storm and it began to shake and i thouhght that we were going to crash,fear
788,when i realized that it did not make much sense to start a relationship with a girl who was not very constructive to establish a firm relationship,sadness
795,when i passed the ba exams with first class results,joy
797,i am getting more of like a post moder pre apocalyptic city sometype of steampunk style but the ocean cave still lingers i feel curious yet chaotic alert now i feel a little amused i admit but more to the point its inspiring the feeling of a battle,surprise
799,i am giving myself permission to feel funny again,surprise
802,i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,surprise
806,i am and feeling accepted by others has been challenging,love
806,i am grateful that when i did not feel i had anyone that i had him and even now that i have such an amazing support group that he is still there and that he is reflected through each of my friends,surprise
808,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear
810,when i qualified for form i i was one of the three pupils who qualified for form i that year,joy
813,i am having a tough time sleeping some nights and am hoping its just because i have been feeling a little overwhelmed,surprise
816,i am here it feels like it flew by in a dazed and confused haze,surprise
820,i am home now and feeling overwhelmed with the house the stuff in it and where to begin,surprise
826,i am in a room of strangers and its lunchtime it feels really weird to walk up to them and say lets go get some lunch,surprise
827,i am in class at school i feel that little child being amazed all the time,surprise
830,i am in love with it but i have a feeling they are not going to be impressed,surprise
845,i am beginning to feel remotely sympathetic for him,love
849,i am being selfish but i feel like me trying to make him horny is redundant because he is always horny and i feel like he should try harder to make me horny,love
851,i was so angry with a patient who refused to take drugs,anger
852,when i was a child i hid under the sheets out of fear of darkness,fear
863,i was travelling in a local train when a drunkard,anger
866,i was very angry when i heard that my brother was beaten by his friends,anger
885,when i was in my village one of my enemies had written a nonsense letter to a girl and he told the father of this girl that i was the culprit when i got to know this i was scared as the girls father was a worse man,fear
887,when i was involved in a car accident last november,fear
896,i worked in a harbour and emptied latrine containers from the back of the lorries,anger
901,i am not entirely sure how i feel about the flickr discussion and i am curious to see how other people in our class respond,surprise
903,i am deal with it were making insecurity cool so we can feel accepted in them,love
905,i am not feeling as overwhelmed as i was for a while there,surprise
907,in a sadist provoked my sister in my presence he tried to force my sister into accompanying him to his place,anger
907,when my dog died,sadness
911,when i was travelling by tram,fear
915,in a confrontation with a person,anger
918,i am doing jap of kreem x in the morning x in the evening and x in the night besides jai maa kali x times at all the above mentioned three times but yet looking forward to feel the presence my lovely mother,love
919,i am not just feeling overwhelmed i have also allowed too many responsibilities to fill my time,surprise
923,i am not really feeling this one but i wouldnt be surprised if the media did,surprise
930,i am not sure if it is the macklemore blaring through my headphones at the moment or if i have descended into some sort of delirium but i feel absolutely amazing at the moment,surprise
934,i am enjoying the month old puppy piddi and feeling the gentle breeze that floats through the cool inner chambers of the house,love
935,i am especially in tears when i read messages sent from abroad hellip especially when i think how cassiopeia members are feeling ishihara pd nov ishihara pd is so considerate about our international friends,love
941,i am not sure why you had that look on your face but i get the feeling something pretty funny must have happened,surprise
942,i am excited cause i am going to be with you for five important days and arising my feelings of a hole left in ny house and my kids feeling the lack of supporting mum care,love
943,i am excited for him to spend time with friends and get out of the city for a bit i cant help but feel a longing to be able to do the same with my own friends or even him and i together,love
950,in the morning,anger
951,i am not wearing jeans and i am feeling bit weird when wear it just now,surprise
951,when my grandmother died having to see my mother weep,sadness
963,i am feel like so horny tonight that i can t wait for you cock come here big boy and fill my needs and my fantasies,love
968,i am okay with that but it feels strange to say it out loud,surprise
969,it was during the beginning of the term i had k and kept it in my handbag i left the handbag in the wardrobe but didnt lock it next time i found that k were stolen,anger
970,it was in march when one of my fellow students borrowed my wristwatch and after sometime he broke a glass of that watch i got angry when he was telling me but the anger didnt take long to fade,anger
975,i am only in the country a few hours and already i feel culture shocked,surprise
988,when my mother had a nervous illness,fear
1025,i am so glad when i catch myself feeling just like me again everything just as it should be joyfully embracing life being curious passionate and interested in life,surprise
1028,i am so impressed by the many people who find solace in tool s music and lyrics sometimes i feel as though chris is reaching out to me from another world i am so amazed at the ability of one group s music to have such an effect,surprise
1030,i am so much happier here but i also am feeling a bit overwhelmed as my to do list at home and work gets longer and i dont seem to be making progress on things,surprise
1033,i am feeling a little romantic,love
1037,i am so used to feeling shifts in everyone elses energy that this surprised me,surprise
1041,i am sooooo thankful i have continued to feel amazing,surprise
1046,i am still asking questions and feeling amazed,surprise
1047,i am still dismayed to find myself charged with the most heinous crime of the century but i am completely innocent and the feeling of being a stunned animal seems to have gone now,surprise
1052,i do not recall one here either,fear
1066,i am still feeling so stunned and at a loss for words,surprise
1078,i am straight serious that i feel god s presence in such an amazing way,surprise
1089,my mother treated me unjustly as if i was a little child i said mean things i was unable to defend myself adequately,anger
1095,i am thankful for colorful workout clothes and feeling amazing in them,surprise
1096,i am the composer i would make music that everybody would like to dance like the best night club music and a music suits for grandpa and grandson to listen together which they won t feel this is strange,surprise
1101,i am then back in my body but the very fact feels very strange,surprise
1102,i am three weeks away from the end of my first semester in college and starting to feel incredibly overwhelmed and like im beginning to let things slip,surprise
1109,i accidently clicked the box makes me enter a password without knowing what the password is and then the power went out and now i m locked out of my internet and i m feeling frantic because it feels like i locked my keys in my car,fear
1114,my roommate being nice to a party leader in order to get into the party,anger
1117,i am used to using very light day creams that give you a fresh soothing feel so i was quite surprised when i tried it for the first time wink,surprise
1119,i am feeling equally generous,love
1128,i actually came home feeling very distraught,fear
1130,i am with me possibly screwing up the landlord thing big time due to the isolating cutting off all ties thing i m doing feeling overwhelmed with all that stuff written since pm very much real,surprise
1131,my young brother took my wristwatch in my abscence and sold it to his friend at a cheaper price,anger
1137,i am wrong and in effect the bad guy for voicing what i see hear and feel i am in ways stunned that you can so easily turn your back from me and pretend that this didnt matter and and didnt happen,surprise
1142,i actually feel a bit distraught,fear
1142,i am feeling fairly sympathetic to marder in all of this,love
1147,i anticipated this or otherwise i wouldnt be watching this one as fan i am of this genre and i feel that it has its funny moments without appealing too much with fan service,surprise
1153,i act as to keep my feelings repressed,sadness
1167,i art works title i feel funny,surprise
1168,i as built my academic repertoire i became a lot less different and those very same people who made me feel strange were looking to be my friend so some of my international cool could rub off on them,surprise
1173,i am feeling generous here are some pictures of the matching earrings a href http,love
1183,i accidentally drank a pot of full strength coffee rather than the decaf i thought id made a hypothesis i plan to test when im feeling brave enough to withstand the accompanying racing heartbeat and shaking hands,joy
1183,i actually go somewhere and pay cash i really feel weird when i pay dollars with my credit card then i get really confused and people have to be patient with me,fear
1198,i actually started feeling nervous as we walked an overgrown path through the woods,fear
1203,i attempted to always have something available but the possibility that i might not get to eat for hours made me feel weird and anxious,surprise
1215,i barley have talked to him since school started and he is acting like i know him and he is starting to make me feel that way but i can say i honestly do not like him i am just curious on what is happening,surprise
1219,i become employed i will slowly replace them with slightly slinkier threads that put a sparkle in my eye and help me feel up for taking on this strange and wonderful thing called life,surprise
1221,i admit i began to feel intimidated by the task set before me by that handsome absolutely blank little book i received,fear
1234,i am feeling horny even though gawdddddd yes i am horny but i am craving some snuggles,love
1243,physical violence a friend wouldnt listen to me i repeatedly tried to warn him,anger
1248,prolonged niggling of friend on a single theme which i considered of no consequence,anger
1255,i began to feel what it was but i was in a manner stunned and unable to comprehend the vastness of the scene,surprise
1256,i admit that i feel a little neurotic about that part i post,fear
1257,i began to go back through his history and examine his childhood and the thoughts and feelings it impressed upon him that i truly began to get jadev,surprise
1258,i am feeling in a softy romantic mood,love
1262,i began to see my mind s healing as a creative endeavour i began to feel curious and just a little excited,surprise
1264,i admit that with all the thoughts that go through my head i feel doubtful at times coz im scared,fear
1265,i began to walk slowly round therefore feeling in every direction to find out what this strange place could be into which i had been so opportunely precipitated,surprise
1268,i actually feel even more satisfied right now than last year even though i had an incredible,joy
1268,i begin feeling a weird vibration in my rear end,surprise
1269,i begin if i had an accident with the lawn mower and my hand was cut off blood shooting out in arterial spurts you wouldn t feel kind of weird about it at all and think hey that guy taylor i met yesterday seemed like a nice guy i enjoyed talking to him on the site,surprise
1271,i begin to feel dazed and this very feeling only reinforces the notion that i may be asleep,surprise
1272,i actually feel quite emotional about the whole thing despite me paying her so little this is the going rate and she is so grateful to have work i feel that we truly don t know we re born in the uk,sadness
1277,i begin when i feel overwhelmed,surprise
1279,i behave normally it feels weird,surprise
1288,i actually feel sorry for her but i also thinks she shoots herself in the foot because of some of the things she said,sadness
1300,i bet tomorrow when its out of ill feel real impressed,surprise
1301,i bet you are or will be wondering what will being waiting for you at each port which will make you feel curious about the sites scenes history and culture,surprise
1302,i agree there seems to be some lean and it feels like the tires are a bit wimpy but overall as i mentioned earlier i am pleasantly surprised with the s handling vs,fear
1305,i bit my lip as he slightly whispered this will feel weird tell me if i hurt you,surprise
1315,i borrowed the nintendo ds games outside many different workforce keep an eye on me moreover look at my thing i feel amazed,surprise
1316,some people were sitting outside and saying things which were not really true,anger
1324,i broke a chair in school which prompted other kids to start calling me whale and i first started to feel somewhat curious about why my family was different than others,surprise
1333,i called him back with recommendations i was unprepared to feel so impressed,surprise
1336,someone called me a disgusting nickname,anger
1341,someone messing up the room we share,anger
1349,i came back to visit last june but it didn t feel very strange since i hadn t really been gone that long,surprise
1350,i am feeling naughty i would wear something rad and loud something you know boomz,love
1355,i came home feeling incredibly overwhelmed by the amount of catch up work i have to do,surprise
1359,i actually think i am a fairly authentic person generally i am pretty honest about my opinions desires etc and almost never lie even white lies but when it comes to those deep dark close to home negative feelings in your gut oh how i have repressed them out of fear,sadness
1362,sometime ago i felt very angry when my mother wrote me telling me that my elder sister was messing up things at home by her internalised aggressive attitude towards parents and her husband,anger
1366,i actually feel rather mellow for this,joy
1370,i almost feel slightly suspicious about such a degree of organisation in italy,fear
1371,i came to malminkartanon ala aste everything here was looking really strange and i was feeling i was feeling like if i where something strange,surprise
1385,i am feeling on this lovely monday,love
1394,the event which got me angry got also an aversion in me,anger
1401,i already feel like a bit of a paranoid mom again for trying to tell doctors that theres something wrong with my child,fear
1402,i am feeling particularly loving towards my blog today so i thought that i would link up with the lovely lauren over at a href http thelittlethingswedo,love
1404,i can do what it takes to get the rest of this weight off and feel amazing,surprise
1408,i already feel shaky tired,fear
1408,the mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house,anger
1412,i am feeling particularly tender towards him at the moment,love
1433,there is a girl at my work that doesnt take care much of her hygiene she comes always with her hair oiled,anger
1437,there was a cup final match between limbe leaf wanderers and silver strikers and someone promised to give me some money for admission fee to watch this game unfortunately he did not give me,anger
1439,i also can t shake the feeling or get past what i do when i m paranoid,fear
1440,i am feeling quite generous today with my work so here is an excerpt from one of my favorite stories that i have written,love
1447,i can feel that the two girls are shocked with what i m saying,surprise
1448,i can feel that weird sensation of smile and cry at the same time,surprise
1453,i admit that the last few weeks since christmas i have been feeling a bit jaded,sadness
1454,i can feel the shocked faces glaring the noise of a thousand collective gasps i was on lemonade at this point and i couldnt eat my cupcake either,surprise
1456,i can feel the strange attractor pulling on her,surprise
1472,i also feel afraid when someone improves a lot particularly someone who used to look up to me,fear
1475,i can honestly say that i enjoyed it and will be reading it again in the near future when i feel like reading a funny and smexy book,surprise
1476,i also feel anxious and depressed in a different way smart ass during a full moon especially if i dont go anywhere or do something social,fear
1481,i can listen to black dog or kashmir without feeling particularly impressed so i think im safe,surprise
1483,i am feeling really passionate about at the moment about educating more parents and children about how good real food is for your body mind and spirit,love
1484,i can look back on and feel pretty impressed,surprise
1489,i can not describe to you all the emotions i was feeling at that moment i was shocked scared nervous happy joyous scared nervous did i say shocked or nervous yet,surprise
1491,i can not tell you how good this makes me feel im funny,surprise
1496,i can pretty much guarantee it ll make you feel amazing,surprise
1507,i also feel less timid and comfortable with the world at large instead of my little sphere of people close to me,fear
1511,i am feeling slutty then their goes your slut look,love
1514,i also feel like i m becoming a bit neurotic,fear
1514,i can say that i feel amazed,surprise
1518,i add other spices as well if i am feeling creative but basil is the one spice that goes perfectly,joy
1526,i am feeling so generous i may even speak to them the next time i see them washing my car or cleaning one of my mansions,love
1538,i can t be at yulara without feeling culture shocked and like the beauty that is the desert has somehow been wrapped up in glad wrap,surprise
1563,i allow god to take care of my life heart and mind the more peace and fulfillment i feel i am homesick for heaven and i havent even been there but i think ive felt and seen glimpses of it here in gods blessings and miracles and the love from other believers,sadness
1564,i can t help but feel impressed that i am helping weave the fabric of the web today as my posts unbeknownst to myself have been automatically gleaned and used for a few purposes,surprise
1568,i can t help but feel surprised and when the younger ones keep joking i feel that i need to draw the line,surprise
1571,i also feel terrified but i ve found that since i ve started saying i m terrified out loud i feel less terrified,fear
1571,i am feeling tender today,love
1576,i can t help feeling profoundly shocked,surprise
1587,i can t really even tell you exactly what it is just what it feels like to me a mixture between a journal seriously amazing dialogue and thoughts,surprise
1593,when i heard that a woman of my community had aborted and got rid of the foetus by throwing it in the drain,anger
1594,i am feeling the longing that calvary brought to him when he emptied himself of power,love
1594,i can t shake the feeling and i m genuinely curious how companies perceive potential employees who received an online degree,surprise
1599,i can t tell you how i feel maybe stunned,surprise
1603,i can tell the ligaments and stuff are looser again because the top of my foot feels strange at times and i am getting foot toe cramps way easier and more frequent than usual,surprise
1610,i am feeling the thrills of my romantic escapade and oh i wish i could stay away,love
1611,i also feel we live in fearful times that make us hard hearted and defensive,fear
1617,i am feeling this book because im still having hot flashes over thor chemsworth and anything norse perks up my imagination,love
1618,i admit to feeling more assured knowing if the internal parts are of higher quality than most,joy
1624,i am feeling today while it surely is a longing to hold you in my arms it is also the pain of admitting that we are probably at the end,love
1629,i cant even imagine how my mom and her three younger sisters must feel i think the weird thing about death is that from an early age we associate it with something evil and tragic,surprise
1631,i also gave them pep talks about heavenly father being only a prayer or thought away if they are feeling afraid or lacking confidence,fear
1631,when i read racist slogans on the walls,anger
1632,i am feeling unusually compassionate at the moment brent begins,love
1637,i cant feel that curious little tingle when i wasnt even expecting it,surprise
1642,i am feeling very blessed and grateful these days as we keep our friends in ny and nj in our thoughts and prayers,love
1649,i cant help but feel a little stunned not so much because shes around again but because shes around again and i feel like im all over again,surprise
1650,i also have high hopes for but nonetheless feel a little skeptical towards the new site that entrepreneur is launching for women business owners,fear
1651,i am feeling very blessed lately so i thought i would share a few things i am thankful for,love
1652,i am feeling very blessed surrounded by love near and far and so happy and excited about what the future holds,love
1653,i also have the same feelings when i shy away from sharing christ with family and friends,fear
1659,i cant help but feel i m been impressed by previous season premiers that have lead to seasons that were well lacking,surprise
1661,i am feeling very delicate to say the least,love
1665,when i saw an insect going up my arm,anger
1667,i am feeling very generous and loving lately lt which hey who doesnt want a cool little something from blank,love
1674,i cant help but not feel surprised,surprise
1675,i cant help but start feeling overwhelmed,surprise
1680,i am feeling very gracious right now as well as excited about the fun times that will lay ahead for my time in wisconsin,love
1687,i also rather like the fact that her boyfriend feels threatened by me but that is just minor icing on the cake,fear
1692,i cant quite put my finger on why i feel so weird about this scenery,surprise
1707,i agreed with aarons comments because i feel strongly about supporting my white brothers but then i found out about his jewish heritage,joy
1708,when i was about to clean the draining board and saw it looked underneath the sink i live in a students hostel,anger
1711,i cant seem to get passed feeling stunned,surprise
1714,i almost feel shamed but then the irony makes it all okay,sadness
1715,i cant speak on emilys behalf but i have been feeling a bit strange about updating lately,surprise
1717,i cant stop feeling amazed every time i use khromes to stamp because they result in really bright sharp designs,surprise
1722,when i was dancing with a dame at a social,anger
1723,i also understand the fact that the current energy corporations feel threatened,fear
1723,i am first being treated like a normal human being and valued as one by my country i could not really feel like esm goh that we are becoming more gracious as a society,love
1726,i cannot begin trying to understand how it must feel to be surprised by an earthquake or see the devastating pictures live to escape from a tsunami,surprise
1736,i also wouldnt feel so pressured to succeed financially to repay them for all that they have done for me,fear
1743,i cannot help but feel shocked and appalled by the footage and hope that those responsible are held accountable,surprise
1747,i always dream she is suffering and dieing and i cant help her which makes me feel even more helpless,fear
1749,when i was presumed to have stolen maize from the school garden,anger
1762,when i was talking to a person who is a hypocrite,anger
1772,i certainly don t feel at that much of a loss as i have been enthralled amused charmed fulfilled and inspired by many of these writings on topics ranging from being pulled up a tree branch by a friend,surprise
1775,i allow others to experience my gaze and feel divine pleasure from my presence if they will accept my free gift,joy
1776,i am grateful and im feeling so overwhelmingly blessed this morning,love
1777,i allow these feelings in my beloved apostles because their service to me then becomes even more beneficial,joy
1778,i challenge you to look at these each time you feel less than joy about your amazing roles,surprise
1787,i already feel awful about what happened and i actually needed to hear you say everything you just said more than anything else in the whole world,sadness
1787,i am grateful for the wonderful blessings we have experienced as a family for the outpouring of love from family friends and neighbors the closeness we feel as siblings and for the sweet strength that my dads service to my mom has given their marriage,love
1801,i closed the book feeling a bit stunned,surprise
1804,i come away from the experience feeling like that one little shard of shame that reminder of how strange i am the bitter icing on the cake which is bipolar disorder is terribly unfair,surprise
1810,i come to a library i feel amazed and overwhelmed wondering how come i read all of these stuff in a life time,surprise
1816,i always feel frantic trying to squeeze all my need to dos and want to dos,fear
1818,i completed the swim in hour minutes and limped toward the swim to bike transition area feeling pleasantly surprised that my swim time was only around minutes slower than my typical training times over the same distance which was a massive lift to my spirits,surprise
1827,i confided in her a five to six weeks ago how i feel about him and initially she was surprised i was attracted to him because she said she didn t find him neither romantically nor physically appealing but now she s all over him,surprise
1830,i always feel hesitant to go back yet i always want to stay longer when its time to come home,fear
1831,i consider all that has happened i feel amazed,surprise
1839,i constantly have the feeling that we have an amazing young woman in our midst,surprise
1850,i already feel shitty enough,sadness
1854,i always feel like i need a second opinion i just feel unsure,fear
1858,when a very dirty classmate farted in my presence there was a terrible smell,anger
1863,i could actually feel the amazing force of the waves hit below as it shook the rock beneath my feet,surprise
1865,i am increasingly feeling like an anachronism in our society today because the values i cherish most honor courage and commitment the core values of my beloved marine corps are considered useless by so many people,love
1869,i always feel nervous when i put myself out on a limb,fear
1874,i could empathize and sympathize with others i simply could not take on any more hurt or loss while i was feeling so overwhelmed with my own,surprise
1887,i could feel her eyes on me and i was surprised that she hadn t closed them,surprise
1908,when my brotherinlaws brother stole my clothes when my brotherinlaw and i had gone to cut wood for the fire,anger
1915,i am left with the sounds of my writing flies buzzing in and out of range the feel of a sweet in my mouth my tinnitus,love
1916,i could feel the benefits of the spice i was curious to know exactly what made it such a great condiment and alternative health item,surprise
1917,when my demand for accomodation on the campus was refused and the rooms were allotted to first year students who were from rucher and came from influential families,anger
1922,i could feel the medicine helping within a day and am curious to see how long it works,surprise
1923,i always feel so strange when i update this blog,fear
1929,i could feel this amazed,surprise
1932,i could feel tim stunned by how close how forward how determined my strip had suddenly become,surprise
1943,i could hear cassie and brooke talking and feeling slightly curious i remained hidden so that i could hear what they had to say,surprise
1946,i could if she wanted to make a person feel amazing,surprise
1953,i always feel uncertain even if people keep assuring me already,fear
1953,i could not help but feel weird that this was my last impression of the city,surprise
1954,i could not help feeling a strange but keen kinship with them the author s and those who listened to the same story recited by ancient rhapsodes,surprise
1954,when my kid brother broke my reading spectacles,anger
1956,i could not imagine how steph was feeling and she must have been dazed and horrified to boot,surprise
1958,i always feel uncomfortable looking through other people s junk,fear
1964,i could remember i never spent time with friends during the summer that much i always seem to feel like a loner which is weird because if you know me i am very outgoing and love people,surprise
1974,i could still feel a weird subtle hint of a pain that had at one time definitely existed and it was just enough to nag at me and make me want to know what was up,surprise
