,content,Emotion
114852,im guessing my nutrient poor carb dinner the night before had something to do with how i was feeling which was crappy with a huge side of hunger,sadness
73272,i heard about this myth a long time ago and when we went my teacher and i joked about going and eating there since we were feeling a bit homesick,sadness
40286,i feel like i am going to get blamed,sadness
107928,i would feel pretty crap to put it in the prizes because its fake boooo,sadness
37168,i feel it s just really boring if you were to end up playing a good vs good match it might happen i wouldn t want to play it and have my legolas look the same as the three other legolasses on the board because that s boring and i consider the painting to be part of the hobby,sadness
25728,i feel after i quit a job i hated class thumbnail width,sadness
48752,i feel quite bad that i made yihan feel bad,sadness
42415,i feel like im being ungrateful cause here i am born into a happy loving family with hardly any trouble whatsoever with anything,sadness
45989,i feel lonely as i walk around in school and at lot one shopping mall,sadness
27804,i feel awkward to accept the reward they want to gave me,sadness
116385,im not typing this right now feeling all lethargic and buzzed up from all the food and drink like the old joe would have,sadness
100888,i was feeling kind of regretful i didnt try out for the drill team but i think if i make this jv drill team itll be better for my schedule with ib and stuff ooh and today i got a letter from arita her friends in thailand are so cute,sadness
110371,im back at my doctors tomorrow for the results of a blood test and to pick up a prescription if im still feeling as bad tomorrow as i am right now im going to mention something and hopefully get an appointment,sadness
120714,ive made and provided that someone would understand exactly how i feel when im discouraged and ready to give up,sadness
76655,i kept quiet feeling a little foolish that i had been too quick to jump into conclusion,sadness
50227,i feel responsibility is suffering,sadness
54850,i feel so unimportant there,sadness
15919,i could say im feeling very low right now because im trying trying but i hate slow progress,sadness
25052,i feel a little sentimental about and will probably keep but at the end of the hour or so it took me to go through everything heres what i had a href http,sadness
6722,i am fighting with my mind trying to tell myself to not feel lonely and there they re helping oh so much,sadness
113296,im feeling rather sentimental and nostalgic now,sadness
90444,i stared out the window for a few minutes feeling hopeless defeated and so tired,sadness
4899,i am feeling disliked,sadness
5492,i am feeling mentally and physically drained i am no longer the same person i was a year ago i have changed,sadness
46446,i feel mega lame because hes all i can think about for god knows what reason and he probably hasnt even had my name cross his mind since last week,sadness
46937,i feel morose nonetheless too much to do and too much to think about,sadness
10010,i arrived on the cardiac floor i was feeling sleep deprived and a little on edge frankly i was stressed out,sadness
119224,ive been feeling mellon collie aka melancholy the past few days and i,sadness
98239,i want to capture this stillness and place it in a bottle so that the next time i m feeling a little gloomy i can take out this piece of tranquility and just breathe,sadness
97199,i used to feel i can do anything but now i feel miserable,sadness
19147,i do feel remorseful for shouting at him at times when hes especially annoying,sadness
29448,i feel deeply burdened and emotionally distraught however it is then you whisper be still and know that i am god,sadness
59145,i feel too needy and probably seem far too detached,sadness
54605,i feel so ugly all the time,sadness
36658,i feel is damaged by the complex story being truncated into a summer blockbuster format,sadness
55375,i feel somewhat ashamed,sadness
118346,im usually feeling very blank and i know i posted already today but it was all bachelorette talk and i guess i had more to say,sadness
4804,i am feeling depressed so having a giant apple pie in my face was not particularly a good idea,sadness
112870,im feeling needy and then you should put on music and just sit with me i promise to not compare you to other men in my life,sadness
28608,i feel broke inside but i wont admit,sadness
13873,i cant help but feel so devastated for her because she has no idea what shes going to do,sadness
67648,i hate feel needy,sadness
268,i have once been very sad and lonely this was when i was trying to organize a play as a student years instead of materializing,sadness
4561,i am feeling a little stressed but seriously i have no one or nothing to blame but myself,sadness
14216,i cant shake this feeling anymore like i know something terrible is going to happen to me,sadness
62858,i finally admit im feeling sorry for myself img src http community,sadness
71328,i have myself fallen victim to the sheltering scheme in the homeschool world and am feeling so hopeless and lost right now this goes back to a href http www,sadness
75314,i just feel so disillusioned at the moment,sadness
106105,i will wear these necklaces knowing that despite feeling so very heartbroken that i am very loved by a man who steals my heart over and over again,sadness
5869,i am feeling rather weepy and blue,sadness
53691,i feel so melancholy most of the time,sadness
4103,i am dog tired of feeling hopeless when i have a savior that wants to give me hope,sadness
41718,i feel like i need to say at least something about the downsides of my day a series of very very unfortunate events today led me to sit in an empty bathtub for an hour listening to blondie,sadness
14072,i cant keep crying and feeling unimportant to someone,sadness
106062,i will talk to when i am feeling unloved or as if i m being taken for granted,sadness
87194,i remember feeling so helpless years ago holding that child in my arms weeping waiting for his now grown brother and sister to get home from elementary school waiting to hear from friends and family in new york city that all was ok,sadness
61774,i feel whiney i didnt want to ever tell people that crap its all over,sadness
105550,i will even feel highly disturbed because i am not sad enough in the missing of husband,sadness
74935,i just feel like im a worthless piece of shit three or four times a week,sadness
21328,i don t mean in the middle of the night in a moment of feeling very low but during the day consciously weighing the pros and cons,sadness
120296,ive found myself even feeling very hopeless lately,sadness
51974,i feel so discouraged this morning and was not in a good place to be handling peyton,sadness
72085,i have that sinking feeling i m getting just a bit depressed or i know it i just want to get up in the morning,sadness
85596,i realised i have actually allowed so many people to do that to me and admit my unworthiness of not being competent or intelligent enough just to avoid them from feeling awkward when i know part of the technicalities of their subject,sadness
14001,i cant help feeling sorry for him,sadness
120938,ive said i really feel feel as remorseful as ever although how long it had happened and whether im forgiven or not,sadness
7970,i am not sure what i feel about the ludicrous pleb gate or gate gate or toff gate affair when a government minister lost his rag with a policeman and started hurling abuse in his general direction allegedly calling him amongst other things a pleb,sadness
76497,i keep feeling more miserable as days go on,sadness
76391,i just was never told these things and feel i went through many a suffering hour errr days weeks because of it,sadness
120340,ive gone through phases of feeling disappointed that i dont have many followers to glad that ive recorded my thoughts and feelings so regularly so my children and i can go back and remember,sadness
32215,i feel especially lonely,sadness
39031,i feel like a terrible person i feel like i am not generally who i am tonight,sadness
89917,i sometimes forget to use my dentures or feel resigned when i put them in my mouth every day,sadness
45317,i feel like theyre going to try to say that we broke it though and charge us for a new one,sadness
46888,i feel more than inadequate,sadness
117794,im sure that is what got us through the first few days of pain exhaustion and feeling helpless and discouraged,sadness
74845,i just feel like a pathetic exhibitionist,sadness
16773,i depends my day with those fckin exam thats the only way to keeps myself from feeling lonely,sadness
12560,i can post questions or comments and then schedule them while we are away so that my fans are not feeling ignored,sadness
12644,i can ride for six or seven hours and not feel like beaten up,sadness
19356,i do have my june measurements and i have to say im a bit surprised ive been feeling so discouraged,sadness
110894,im feeling a bit depressed also,sadness
45190,i feel like there needs to be a disclaimer that i am in no way romanticising the shitty aspects of this pairing okay it is fucked up beyond belief summary castiel holds the world in the palm of his hand,sadness
82049,i mean the good thing is i am never feeling deprived or hungry during the day except at night,sadness
18641,i discovered it i was feeling disturbed and confused already because of the movie but then this news meant i was also depressed so i shouldve joined the girls in having some shots but i just went with the more tame option of a glass of wine,sadness
83703,i no longer live alone but tonight i feel very alone amp quite insecure,sadness
71761,i have reactions some days when i feel absolutely unplugged to my heart races to being lethargic and all i want to do is sleep but i can not as i have to try and get some money to live,sadness
56361,i feel stupid putting it on the internet but as this is a blog documenting a journey through life i thought i might as well put it up here,sadness
63767,i found myself feeling uncharacteristically disturbed,sadness
36340,i feel inadequate in almost every way possible,sadness
110027,im afraid of getting hurt again i feel that if i get hurt again i wont be able to pick myself up again,sadness
111541,im feeling abysmally dull,sadness
13426,i can view them as the same not one better than the other then i can live by my actions and the results they have yielded without feeling i have missed something without feeling regret for what i did not do or say or experience,sadness
89018,i should feel shamed that my mama is angry but i love hearing youre on the drink,sadness
8694,i am so so so so so so so so so so sorry that i ever made you feel unimportant or unappreciated,sadness
35491,i feel i feel like all my hope in life is for nothing and that we are doomed to be laughed at behind our backs or have people shake their heads in disbelief and disappointment,sadness
81808,i mean gosh we live five minutes away from each other but sometimes i feel like i am in a distance relationship lame,sadness
84478,i only is feel so stress n feel unhappy the test is really so stress so i write at here to express my feelings,sadness
95702,i thought of my peers lacking of a few months or a year to vote feeling hopeless as they watch the news and with every click of the refresh button last night,sadness
20499,i don t feel depressed because i m missing out on all my american traditions or commodities,sadness
36707,i feel is n being ignored,sadness
98734,i want you to grow up in a happy and cheerful home where people wont make you feel burdened for other peoples mood swings,sadness
33885,i feel heartbroken and disgusted with myself,sadness
119208,ive been feeling lonely the last two months and i feel like i used to feel which is not good,sadness
120181,ive done for the last couple of weeks i feel that things have gotten pretty dull and sadly ive completely neglected pretty much everything this break that wasnt about that lettuce stacking chips gettin bread making cheese or bringing home the bacon basically ive become obese over the break,sadness
48198,i feel pathetic for feeling this way for being me i dont deserve a life,sadness
93035,i suppose i just feel being completely alone is better than being surrounded by friends who arent here for me,sadness
40011,i feel like i ve been neglectful,sadness
14375,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,sadness
64054,i get a little down about it because it feels hopeless at times and i always get a lot of anxiety when i am not sure what is next but i try to remember that what is meant to be will be and i will find where i fit when i least expect it,sadness
21543,i don t understand why sitcoms feel the need to go out with a weepy episode,sadness
2470,i also made me feel a little regretful while i was waiting for her,sadness
84503,i only see online has been grappling with feelings of loss and need in her own life a submissive side to her thats not being fed at all,sadness
73353,i highly recommend a late night walk with a good friend to anyone who needs a spot of cheerin or if youre feeling listless or whatnot peace out,sadness
80272,i live for years but i feel i have lived in vain i am stronger than when i was not much other people seem to have succeeded only i was nothing though i carefully to be successful maybe i did not fail like the others but i think just jealous,sadness
34372,i feel homesick for the easy life,sadness
107498,i work this weekend and i m heading into it feeling a little bit defeated,sadness
68957,i have a good feeling about today even though i broke curfew by like minutes last night i still have a good feeling about today,sadness
91099,i started to feel awkward another sexy french guy came and stood in the doorway also about my age and also a relative of the baby by the way he was behaving,sadness
94228,i think i had a list of resolutions that i came up with at the beginning of the year but im feeling too worthless to try and find them,sadness
58958,i feel this unpleasant tightness in my chest that wasnt there minutes ago,sadness
10922,i bet that he feels like he was assaulted by a beautiful woman,sadness
98765,i wanted her to feel the love and freedom with me which she was deprived off at her home,sadness
88283,i say pocket i have to add a british accent or i feel lame,sadness
48791,i feel quite disturbed now,sadness
52073,i feel so disturbed and terrified like any other normal citizen,sadness
14396,i cannot feel pity or sorry for someone without believing they are lesser than who they really are wtra,sadness
9882,i apologized for being that way and the hubs said the he feels really needy now too,sadness
40878,i feel like i have been neglectful in the past and have not given this blog the attention that its needed,sadness
115258,im just feeling sentimental but im so grateful for the gift of family that ive been given even if this side of the family was a late in life gift,sadness
106039,i will stop feeling heartbroken when i see my unfollows,sadness
99994,i was feeling a little discouraged by this point,sadness
21833,i dont get to listen to music that much any more but i like franz ferdinand keane ancafe but their fans are a bunch of idiots sorry x i feel like theyre taking the word nyappy in vain how sad is that,sadness
90,at end of school function to celebrate leaving friends who id known for up to years,sadness
101341,i was feeling pretty groggy and went off to sleep easily and had a good night waking up with much less pain,sadness
52933,i feel so homesick for ga and my boys the last week or two,sadness
96794,i turned and didnt do anything i feel like a bumn and i i hated it always for everyones birthday we do somethin but on bday i have to plan everything im done dealin with this crap written by a class fn url href http journals,sadness
76251,i just try and photograph what i feel none of my ideas have taken shape so far i am a bit unsuccessful as far as ideas are concerned,sadness
116683,im really feeling homesick today as i sit here in fresno and look out at the gray sky and a wet patio and fence,sadness
99205,i was already feeling drained,sadness
61028,i feel very humiliated angry at myself on those days,sadness
58098,i feel that way too some days just wish that all the pain and suffering were over,sadness
68597,i have a feeling i am going to have nights to myself again like i did in my lonely early s where i had rituals because jamie got a new job where she has to get up at am and thus goes to bed early,sadness
79188,i know you wont feel a thing even if im heartbroken,sadness
117957,im there or not and i feel so unimportant and unloved so it upset me,sadness
103394,i was reading the last chapter feeling a a little morose but when i was on the second to last page everything felt really heavy all of a sudden,sadness
13502,i cant believe i thought that having feelings and opinions was bad,sadness
92632,i stood in my closet calling myself fat and feeling ugly i can relate to the need to be kinder to myself,sadness
77712,i know i ve done wrong but i feel absolutely humiliated at having to wear a tag as if i am some common criminal,sadness
69357,i have an under active thyroid which means you are hungry all the time have no energy a very low metabolism and once in a while week you feel like you are worthless,sadness
119748,ive been going to school stuck in my tiny space facing my table pilled with books feeling isolated,sadness
85992,i really don t like this feeling a target blank href http twitter,sadness
80120,i liked build fighters but i don t know how i feel about ugly ass wing gundam zero type wings,sadness
69135,i have a slight ok huge temptation to be weary and feel burdened,sadness
102218,i was feeling very crappy and it was going down hill the entire week,sadness
92242,i still feel the aching pain inside that spreads through my veins and makes me feel like im withering away,sadness
85193,i put into these boards id feel really idiotic to have to self censor,sadness
44093,i feel like my presence my very being is hated here,sadness
90586,i start to feel despairing that the snow will ever melt,sadness
68148,i hate that i feel so victimized by your threats,sadness
77515,i know i d be facing a lot of sneering and derision the moment i publish this but the hell i care this is my blog and i m feeling all shitty and depressed right now so please just bare with me will you,sadness
32400,i feel exhausted and grateful that all i have to do is support myself,sadness
58007,i feel that this is another trap and honestly we can look foolish to the world when we warn unsaved friends and family that certain things will happen as predicted by this or that prophet and then they dont happen the way we have said,sadness
47257,i feel my relationship with my other patron has been ignored,sadness
74802,i just feel kind of completely defeated today,sadness
43501,i feel like it title share on facebook facebook a target blank rel nofollow class twitter href http twitter,sadness
25786,i feel all gloomy n crap and i hope ill manage to pull up a face in front of all the kids im meeting today which i havnt seen in years,sadness
77413,i know how you are feeling that you feel hopeless useless fat ugly i can never lose weight at my age why bother right,sadness
88963,i should enter something in the blog so it doesnt feel ignored,sadness
7469,i am left feeling unimportant unheard unvalidated,sadness
15280,i could be badass about it but right now im feeling more this is dumb than this is awesome,sadness
6916,i am going to stop letting the little things overwhelm me like meal planning and keeping the laundry pile under control and instead i am going to plan fun outings and our next camping trip things to look forward to instead of feeling regretful about not keeping up with the daily grind,sadness
92498,i still know id feel awkward and ashamed for what they did and for what i was subjected to,sadness
67959,i hate him for being weak and i feel awful because it feels like im wrong for feeling that way,sadness
28137,i feel bad that chris is so allergic but alex and i are cat people,sadness
74736,i just feel hopeless lost overwhelmed wondering how we will go on like this,sadness
82724,i must have picked it up when i left the confines and safety of my house for a few hours on sunday but ive been feeling really bad ever since with an upset tum and the worst headache you can imagine,sadness
105045,i went through most of the summer feeling like everyone disliked me,sadness
80390,i look at it and it just feels and looks so ugly to me,sadness
31076,i feel disturbed when i see people break into pieces right in front of me because of love,sadness
108018,i would feel ungrateful not to honor it,sadness
65471,i guess a lot of parents feel that way and kids can be naturally ungrateful,sadness
71670,i have only been asked this question a couple times since i have been here but i have always responded with i miss certain things about home but i don t feel really homesick yet,sadness
97158,i used to feel awkward when i was single and at social functions etc,sadness
71108,i have just invented to describe my feelings about this book embarrassment empathy when youre just so embarrassed for a character on page or screen that you have to hide your face until its over because its all too much to bear,sadness
98859,i wanted to go get checked out but im feeling like this is just a terrible terrible cold not even influenza ish and getting better by the day,sadness
77190,i know for a fact that if someone knew that you were feeling those things unloved rejected boring it would seriously not only come as a huge surprise but also be shown to be the absolute lie that it is,sadness
4471,i am feeling a little homesick again already xd,sadness
51544,i feel so burdened and equally blessed,sadness
85239,i put this shield around my heart and everytime i feel like i was just heartbroken the shield becomes thicker and thicker and eventually no ones gonna be able to get to my heart nor will i able to love again for certain,sadness
92266,i still feel this fill in the blank pain i deeply and completely accept myself,sadness
68918,i have a feeling we would be embarrassed by what we saw,sadness
18006,i didnt feel cheated or deprived,sadness
24396,i feel a bit unprotected from it,sadness
101902,i was feeling so homesick and honestly i was a little confused as to why god even brought me here,sadness
11136,i call a friend and hear news that makes me ecstatically happy sitting up straight in my chair i feel myself grow a little weepy,sadness
65964,i guess not having someone besides kirk begging for my time makes me feel unimportant,sadness
100430,i was feeling disappointed in people and the conformity of daily life i would be pulled toward its promise of uniqueness and expression,sadness
66474,i had all of those thoughts but chose never to express them to you in any way then would you feel less abused by me,sadness
75443,i just feel so numb i dont know whats happening,sadness
22976,i dunno i m feeling a bit troubled right now and i just felt like writing might make it better,sadness
23143,i end up feeling drained by the process of putting heart mind and soul into words and on the black screen of my text editor,sadness
71636,i have observed that i do now vary my body language and tone of voice automatically in response to a conversation partner and feel the report this creates on an emotional level nobody actually taught this to me,sadness
31818,i feel embarrassed if anyone were to stop by and see the state of my house enough that i wish i could pretend we werent even home when someone does stop by,sadness
106719,i woke up feeling shitty and allowed that mood to dictate my morning through hiding from myself in a computer game of chess,sadness
61754,i feel which we should be punished or finished to feel bad since we left my ex husband as well as busted my child s life,sadness
51701,i feel so defeated and deflated,sadness
45724,i feel like will has been in denial of last summers tragic turn of events now that he has four more in his possession at gramma camp,sadness
114771,im going to have to pace myself though because if i eat too much then that is when i feel lousy for the rest of the night,sadness
6586,i am feeling very lonely as i have no friends left now and pray help comes for holly soon,sadness
104560,i wasn t in tune with any sort of feelings other than numb,sadness
28130,i feel bad starting a new topic each time i feel like saying something but i guess thats the point of a message board,sadness
16929,i did feel a little ugly at the gym but decided i didn t care,sadness
96576,i try to be perfect in my own strength and power which normally ends up leaving me frustrated and feeling worthless,sadness
7386,i am learning daily is to take responsibility for my own hurts wounds and healing although it feels unpleasant it gets the job of moving from trauma to wholeness done,sadness
61474,i feel victimized by the police sometimes as though they arent so much law enforcers as they are revenue generators for the city but still i understand their positions and respect the danger they put themselves in ultimately to keep others safe,sadness
7456,i am left feeling regretful uncertain and sad,sadness
68734,i have a feeling something else has disturbed her,sadness
13115,i can t help feeling this weirdness though like we are on the brink of the goodness spilling over into a messy mismanaged place like etsy,sadness
72872,i have wondered if i should give a few ppl second chance but until i feel that my relationship with tyler is doomed i wont do it,sadness
56973,i feel that anna shouldnt be blamed for what the writers have given her,sadness
82072,i mean this is common i feel half hopeless but still full of faith,sadness
55341,i feel something unpleasant when i can t stop to pee for miles because even though jim crow is over no one in my car wants to risk a fight jail death because i forgot to tinkle in the last place we saw brown people walking around,sadness
23385,i envision all kinds of awful things happening beyond my control and it feels terrible,sadness
59465,i feel troubled when i feel like i have given up on anything,sadness
44257,i feel like other people want me to too and then the cycle continues because i feel guilty which kicks me back into those same ol feelings,sadness
97315,i used to think that i was protecting people by hiding out when i was feeling gloomy but i now believe that exposing our true selves as often as possible and being real with one another is the only way that we will escape ourselves and enter into the world that is made up of so many relationships,sadness
4109,i am doing now is not gods will so i will not receive his blessings i do not have any abilities to do what god wants me to do or feel that the situation we are in is extraordinarily unpleasant and its not that easy to be solved,sadness
44055,i feel like my mind is so blank,sadness
4707,i am feeling broke emotionally physically and mentally,sadness
18248,i didnt feel this homesick while in oregon but probably only because i still felt close,sadness
67717,i hate feeling helpless by amy beck day ago,sadness
101138,i was feeling my body reach up for his fingers aching for it to be more than a finger,sadness
101264,i was feeling pretty crappy for a couple days,sadness
37916,i feel lame even mentioning these,sadness
10774,i believe feeling duality suffering soul growth in an upright position is a card of action telling of an ending or a decline or a change of direction often one associated with emotions,sadness
10394,i became sick of feeling rotten after eating and now i enjoy food and how it makes me feel afterwards,sadness
22960,i dunnno i just feel sorta discontent but im tired and stuff i just wanna go to bed,sadness
67487,i hadn t waited until morning to arrive and i was still feeling displaced and alone,sadness
35299,i feel i am being unpleasant boring whining ridiculous,sadness
87215,i remember feeling sort of numb like it couldn t really be happening but i was thrilled beyond belief at the same time,sadness
99664,i was doomed because there werent that many asians and girls werent really feeling me but i was also doomed because if we get down to the food the food was different for me too,sadness
15594,i could feel the blank incomprehension on my face,sadness
67496,i hadnt finally been able to loosen up a good bit around this whole topic i would feel quite embarrassed at my pomp and circumstance from my a href http nonnativebilingualism,sadness
92802,i struggle intensely more than i care to admit with feeling unloved and unlovable,sadness
11943,i can feel my joints aching already and i did prac,sadness
30386,i feel disappointed because i feel rejected and feel a sense of failure for not being able to keep that friendship alive,sadness
89035,i should go somewhere and feel abused by people,sadness
103802,i was starting to feel homesick and actually started to tear up when i saw the lone star states bold flag flying level with the american flag of course over texas roadhouse and had to talk my husband into dinner there just so i could get a little feeling of home,sadness
21544,i don t understand why you feel so offensively ugly she said handing me back the paper,sadness
43960,i feel like my kids are going to look at this and realize how completely horrible my grammar is and just decide to drop out of school,sadness
85534,i read the package insert and it leaves me feeling blank,sadness
98101,i want something a bit more comforting like john not readings that make me feel inadequate like acts,sadness
16406,i created an action plan that i now use whenever i start to feel homesick and here it is,sadness
82344,i might not be good at displaying my feelings but honestly being sentimental has always been a part of me,sadness
72436,i have to be somewhere in just over hours but there have been a few big things going on in the works that i feel like would be foolish not to reflect on at some point,sadness
107150,i wont feel bad about myself,sadness
120295,ive found myself drawn more and more to the ones who perhaps feel a little more foolish the ones who dont seem as naturally gifted the ones like me who finally wake up one morning and realize what theyve let their body turn into and whove decided to do something about it,sadness
116730,im really not much good to my kitties or anyone else when i feel so crappy,sadness
28495,i feel blank i feel this way when i feel this way because i think i core belief of self,sadness
113703,im feeling slightly out of the loop so i broke down decided not to wait months to get a copy from the library and slapped down a gift card,sadness
2980,i always feel so defeated by my body,sadness
52457,i feel so extraordinarily sorrowful when i hear her stories of how people treated her,sadness
8639,i am so grateful for my moment of clarity but yet i do feel sad about losing my baptist boy of today,sadness
99624,i was different than my dormmates and while they sometimes tried to include me in the fun i had the distinct feeling that my train of thought was unwelcome and that i was very different from everyone else there which led to a feeling of frustration at being unable to express myself,sadness
59726,i feel unfortunate for the people who know me,sadness
951,when my grandmother died having to see my mother weep,sadness
50355,i feel rotten to be espousing such hope when there are those out there living in such a hopeless state,sadness
7014,i am having a hard time not snuggling in next to her but if i sleep past a certain time i feel groggy for the rest of the day,sadness
30320,i feel dirty within minutes of exiting my building,sadness
82775,i must say it still boggles my mind to tread the starting line with women i have looked up to and followed for years but i m starting to get over the i don t belong feeling of course it didn t hurt that i knew several athletes on the start list from my days racing for csu,sadness
52686,i feel so guilty my responsibilities outside of class are so overwhelming that i dont have time to suffer,sadness
71985,i have spoken to and emailed with infertile women who feel humiliated by their situation betrayed by their bodies and discounted by their culture at large,sadness
51362,i feel so awkward around such huge quantities of food i usually end up going in the opposite direction and choosing only the smallest amount and then feeling awkward and hungry for the rest of the event i probably didn t even want to attend in the first place,sadness
90846,i started feeling like i was a terrible christian for having envy,sadness
65532,i guess i alluded to the best way i can describe it a little earlier i feel discontent and i think thats healthy i think too many people are content and will never see hear taste smell or feel the fullness of what this world has for them not that im saying i ever will,sadness
74376,i just dont see an emotional connection with the guy and i feel dumb as shit for being tied down because i spend half the day contemplating why the fuck i got myself into this,sadness
77285,i know how awful you must feel being helpless but you are kai s strength as well as for your parents that is your mission,sadness
75940,i just have this sinking feeling of discontent these days that won t go away,sadness
26529,i feel as if im jaded and i dont want to,sadness
73026,i havent blogged lately primarily because i feel worthless peoples actions show me that i matter not to them and very few things are going as planned,sadness
18962,i do feel guilty as i know i hurt him before one way or another,sadness
60825,i feel very burdened and other times i think that im dealing with things just fine but either way im experiencing some weird things mentally,sadness
100985,i was feeling listless anmd fretful today so i just,sadness
77004,i knew the power of the lord and his victory over darkness which swept away the fear but still left my heart feeling disturbed,sadness
79851,i like auggie but he always makes me feel like im unimportant to him,sadness
115379,im just second guessing myself but i dont know i just feel pained and i really dont recongize this pain its more i dont want let me repharse that cant do anything cant get into my old routine of being the bubbly up beat person i normally am,sadness
54588,i feel so troubled stressed irrresponsible am the worst friend on earth,sadness
117101,im so tired of always feeling like im being blamed for thing,sadness
99046,i was able to balance me time time to feel my emotional pain and functioning time,sadness
104110,i was tempted to feel a little depressed about the fact that i cant really take a big vacation this year,sadness
106240,i wish i had done things differently miss the way they used to be or just get overwhelmed by the feelings of melancholy,sadness
101994,i was feeling so ungrateful earlier this week,sadness
52245,i feel so dumb photographing myself okay i even feel dumb trying to smile for justin,sadness
83455,i never really cared to see the film in d but now that i ve seen the d version i understand a little bit better and feel i missed out,sadness
38565,i feel like a fake if i dont have holes in my sweater,sadness
61247,i feel very sad today sad that i cant do more for megs or ant sad that i have lost that omph as a mother normally i would have been up the school and got things sorted today due to not being able to get out there and sort it without a carer etc,sadness
16700,i dedicated so much time and love to this boy and i feel like it was now all in vain,sadness
62453,i felt and still feel completely drained and totally inadequate as a mother,sadness
